entity_text,entity_type,start_pos,end_pos,sentence,before_context,after_context,is_historical_location,confidence_score,latitude,longitude,march_id,march_name,sentence_id,page,page_quality,sentence_index,char_count,word_count,has_narrative_value,sentence_type,potential_locations,location_count,potential_dates,date_count,has_emotion_keywords,text_normalized,text_cleaned,tokens,lemmatized,token_count,preserved_keywords,keyword_count,has_emotion_words,is_informative,location_name,mention_count,emotions,emotion_words,sentiment_score,sentiment_label,emotion_intensity,bert_emotions,bert_top_emotions,combined_emotions,analysis_method
Sandakan,GPE,108,116,"On 13 # TJanuary Captain Yamamoto Shoichi, commanding officer of the 25th Mixed Regiment currently based at Sandakan, had been instructed to move 360 infantry troops and a company of machine gunners to Tuaran, more than 400 kilometres to the west.",cer of the 25th Mixed Regiment currently based at,", had been instructed to move 360 infantry troops",True,1.0,118.087115,5.86873,3.0,Third March,1,0,100,1,247,41,True,location_reference,Sandakan,1,,0,False,"On 13 # TJanuary Captain Yamamoto Shoichi, commanding officer of the 25th Mixed Regiment currently based at Sandakan, had been instructed to move 360 infantry troops and a company of machine gunners to Tuaran, more than 400 kilometres to the west.","On 13 # TJanuary Captain Yamamoto Shoichi, commanding officer of the 25th Mixed Regiment currently based at Sandakan, had been instructed to move 360 infantry troops and a company of machine gunners to Tuaran, more than 400 kilometres to the west.",13 tjanuary captain yamamoto shoichi commanding officer 25th mixed regiment currently based sandakan instructed move 360 infantry troops company machine gunners tuaran 400 kilometres west,13 tjanuary captain yamamoto shoichi commanding officer 25th mixed regiment currently based sandakan instructed move 360 infantry troop company machine gunner tuaran 400 kilometre west,25,"officer, sandakan",2,True,True,Sandakan,248,[],[],0.1,neutral,0.0,"{'fear': 0.6055154204368591, 'anger': 0.1411229819059372, 'surprise': 0.07935819774866104, 'sadness': 0.06895622611045837, 'neutral': 0.05920594558119774, 'joy': 0.040218535810709, 'disgust': 0.005622727796435356}",['fear'],['fear'],bert_only
Tuaran,GPE,202,208,"On 13 # TJanuary Captain Yamamoto Shoichi, commanding officer of the 25th Mixed Regiment currently based at Sandakan, had been instructed to move 360 infantry troops and a company of machine gunners to Tuaran, more than 400 kilometres to the west.",fantry troops and a company of machine gunners to,", more than 400 kilometres to the west.",False,1.0,,,,,1,0,100,1,247,41,True,location_reference,Sandakan,1,,0,False,"On 13 # TJanuary Captain Yamamoto Shoichi, commanding officer of the 25th Mixed Regiment currently based at Sandakan, had been instructed to move 360 infantry troops and a company of machine gunners to Tuaran, more than 400 kilometres to the west.","On 13 # TJanuary Captain Yamamoto Shoichi, commanding officer of the 25th Mixed Regiment currently based at Sandakan, had been instructed to move 360 infantry troops and a company of machine gunners to Tuaran, more than 400 kilometres to the west.",13 tjanuary captain yamamoto shoichi commanding officer 25th mixed regiment currently based sandakan instructed move 360 infantry troops company machine gunners tuaran 400 kilometres west,13 tjanuary captain yamamoto shoichi commanding officer 25th mixed regiment currently based sandakan instructed move 360 infantry troop company machine gunner tuaran 400 kilometre west,25,"officer, sandakan",2,True,True,Tuaran,9,[],[],0.25,positive,0.0,"{'fear': 0.7150750160217285, 'anger': 0.10357958823442459, 'surprise': 0.051941052079200745, 'sadness': 0.04586897790431976, 'neutral': 0.04155738651752472, 'joy': 0.03839989751577377, 'disgust': 0.003578115487471223}",['fear'],['fear'],bert_only
Tuaran-Jesselton,LOC,78,94,"He was to take with him 500 POWs from the Sandakan compounds to labour in the Tuaran-Jesselton area, where the garrison was being strengthened.",POWs from the Sandakan compounds to labour in the,"area, where the garrison was being strengthened.",False,1.0,,,,,2,0,100,2,143,24,True,location_reference,Sandakan,1,,0,False,"He was to take with him 500 POWs from the Sandakan compounds to labour in the Tuaran-Jesselton area, where the garrison was being strengthened.","He was to take with him 500 POWs from the Sandakan compounds to labour in the Tuaran-Jesselton area, where the garrison was being strengthened.",take 500 pows sandakan compounds labour tuaran-jesselton area garrison strengthened,take 500 pow sandakan compound labour tuaran-jesselton area garrison strengthened,10,sandakan,1,True,True,Tuaran-Jesselton,2,[],[],0.0,neutral,0.0,"{'neutral': 0.5153971910476685, 'disgust': 0.23883014917373657, 'fear': 0.08394979685544968, 'joy': 0.06654225289821625, 'anger': 0.04869422689080238, 'surprise': 0.025037428364157677, 'sadness': 0.021548964083194733}",['neutral'],['neutral'],bert_only
Sandakan,GPE,132,140,"For the past three months the Yamamoto Butai, as the unit was also known, had been engaged in building fortifications in and around Sandakan, particularly near the airfield.",engaged in building fortifications in and around,", particularly near the airfield.",True,1.0,118.087115,5.86873,3.0,Third March,3,0,100,3,173,28,True,location_reference,Sandakan,1,,0,False,"For the past three months the Yamamoto Butai, as the unit was also known, had been engaged in building fortifications in and around Sandakan, particularly near the airfield.","For the past three months the Yamamoto Butai, as the unit was also known, had been engaged in building fortifications in and around Sandakan, particularly near the airfield.",past three months yamamoto butai unit also known engaged building fortifications sandakan particularly airfield,past three month yamamoto butai unit also known engaged building fortification sandakan particularly airfield,14,sandakan,1,True,True,Sandakan,248,[],[],-0.016666666666666663,neutral,0.0,"{'fear': 0.4245513379573822, 'anger': 0.21990683674812317, 'neutral': 0.1704685091972351, 'disgust': 0.08330967277288437, 'sadness': 0.05761558562517166, 'joy': 0.0253909919410944, 'surprise': 0.01875704526901245}",['fear'],['fear'],bert_only
Borneo,GPE,178,184,"However, since the airstrip was no longer viable except for small aircraft, and the Japanese High Command was concerned that, with the Philippines retaken, the military bases in Borneo’s west would be targeted, the regiment received its marching orders.","th the Philippines retaken, the military bases in","’s west would be targeted, the regiment received i",False,1.0,,,,,4,0,100,4,253,39,False,general,,0,,0,False,"However, since the airstrip was no longer viable except for small aircraft, and the Japanese High Command was concerned that, with the Philippines retaken, the military bases in Borneo’s west would be targeted, the regiment received its marching orders.","However, since the airstrip was no longer viable except for small aircraft, and the Japanese High Command was concerned that, with the Philippines retaken, the military bases in Borneo’s west would be targeted, the regiment received its marching orders.",however airstrip longer viable small aircraft japanese high command concerned philippines retaken military bases borneo ’ west targeted regiment received marching orders,however airstrip longer viable small aircraft japanese high command concerned philippine retaken military base borneo ’ west targeted regiment received marching order,22,japanese,1,True,True,Borneo,36,[],[],-0.057999999999999996,neutral,0.0,"{'fear': 0.7057291865348816, 'anger': 0.15908494591712952, 'sadness': 0.07927493005990982, 'neutral': 0.026096494868397713, 'joy': 0.015089459717273712, 'disgust': 0.007370073813945055, 'surprise': 0.007354957051575184}",['fear'],['fear'],bert_only
Sandakan,GPE,100,108,All shipping was at a standstill (apart from a decrepit steam-driven launch still operating between Sandakan and Kudat) and an airlift was out of the question.,repit steam-driven launch still operating between,and Kudat) and an airlift was out of the question,True,1.0,118.087115,5.86873,3.0,Third March,5,0,100,5,159,26,True,location_reference,Sandakan,1,,0,False,All shipping was at a standstill (apart from a decrepit steam-driven launch still operating between Sandakan and Kudat) and an airlift was out of the question.,All shipping was at a standstill (apart from a decrepit steam-driven launch still operating between Sandakan and Kudat) and an airlift was out of the question.,shipping standstill apart decrepit steam-driven launch still operating sandakan kudat airlift question,shipping standstill apart decrepit steam-driven launch still operating sandakan kudat airlift question,12,sandakan,1,True,True,Sandakan,248,[],[],0.0,neutral,0.0,"{'sadness': 0.37992823123931885, 'neutral': 0.21219226717948914, 'fear': 0.15281803905963898, 'surprise': 0.13787703216075897, 'anger': 0.08329993486404419, 'disgust': 0.02897493727505207, 'joy': 0.004909486044198275}",['sadness'],['sadness'],bert_only
Kudat,GPE,113,118,All shipping was at a standstill (apart from a decrepit steam-driven launch still operating between Sandakan and Kudat) and an airlift was out of the question.,riven launch still operating between Sandakan and,) and an airlift was out of the question.,False,1.0,,,,,5,0,100,5,159,26,True,location_reference,Sandakan,1,,0,False,All shipping was at a standstill (apart from a decrepit steam-driven launch still operating between Sandakan and Kudat) and an airlift was out of the question.,All shipping was at a standstill (apart from a decrepit steam-driven launch still operating between Sandakan and Kudat) and an airlift was out of the question.,shipping standstill apart decrepit steam-driven launch still operating sandakan kudat airlift question,shipping standstill apart decrepit steam-driven launch still operating sandakan kudat airlift question,12,sandakan,1,True,True,Kudat,4,[],[],0.0,neutral,0.0,"{'neutral': 0.3574574887752533, 'sadness': 0.2909938395023346, 'fear': 0.12053728103637695, 'surprise': 0.11360689997673035, 'anger': 0.0794162005186081, 'disgust': 0.0336553156375885, 'joy': 0.004332949873059988}",['neutral'],['neutral'],bert_only
Beluran,GPE,90,97,"Although various river systems linked by foot tracks formed a well-established route from Beluran to Tuaran, Yamamoto was ordered to take a more southerly route, developed less than six months previously.",foot tracks formed a well-established route from,"to Tuaran, Yamamoto was ordered to take a more so",True,1.0,117.664927,5.818868,2.0,Second March,7,0,100,7,204,31,False,location_reference,Beluran,1,,0,False,"Although various river systems linked by foot tracks formed a well-established route from Beluran to Tuaran, Yamamoto was ordered to take a more southerly route, developed less than six months previously.","Although various river systems linked by foot tracks formed a well-established route from Beluran to Tuaran, Yamamoto was ordered to take a more southerly route, developed less than six months previously.",various river systems linked foot tracks formed well-established route beluran tuaran yamamoto ordered take southerly route developed less six months previously,various river system linked foot track formed well-established route beluran tuaran yamamoto ordered take southerly route developed less six month previously,21,river,1,True,True,Beluran,15,[],[],0.1277777777777778,positive,0.0,"{'neutral': 0.8580085635185242, 'surprise': 0.053775206208229065, 'sadness': 0.03612329065799713, 'disgust': 0.019203249365091324, 'fear': 0.013826125301420689, 'anger': 0.01098018791526556, 'joy': 0.008083448745310307}",['neutral'],['neutral'],bert_only
Tuaran,GPE,101,107,"Although various river systems linked by foot tracks formed a well-established route from Beluran to Tuaran, Yamamoto was ordered to take a more southerly route, developed less than six months previously.",s formed a well-established route from Beluran to,", Yamamoto was ordered to take a more southerly ro",False,1.0,,,,,7,0,100,7,204,31,False,location_reference,Beluran,1,,0,False,"Although various river systems linked by foot tracks formed a well-established route from Beluran to Tuaran, Yamamoto was ordered to take a more southerly route, developed less than six months previously.","Although various river systems linked by foot tracks formed a well-established route from Beluran to Tuaran, Yamamoto was ordered to take a more southerly route, developed less than six months previously.",various river systems linked foot tracks formed well-established route beluran tuaran yamamoto ordered take southerly route developed less six months previously,various river system linked foot track formed well-established route beluran tuaran yamamoto ordered take southerly route developed less six month previously,21,river,1,True,True,Tuaran,9,[],[],0.1277777777777778,positive,0.0,"{'neutral': 0.7811180353164673, 'surprise': 0.09174758940935135, 'sadness': 0.06556001305580139, 'joy': 0.025980547070503235, 'fear': 0.01507222093641758, 'anger': 0.014245959930121899, 'disgust': 0.006275577004998922}",['neutral'],['neutral'],bert_only
Sandakan-Beluran,LOC,130,146,"The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.",stages and linked the 42 mile peg on the existing,"track with Ranau, another 180 kilometres further",True,1.0,118.087115,5.86873,3.0,Third March,8,0,100,8,201,36,True,location_reference,"Sandakan, Beluran, Ranau",3,,0,False,"The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.","The new path, or rentis as it was also termed, had been cut or widened in three stages and linked the 42 mile peg on the existing Sandakan-Beluran track with Ranau, another 180 kilometres further west.",new path rentis also termed cut widened three stages linked 42 mile peg existing sandakan-beluran track ranau 180 kilometres west,new path rentis also termed cut widened three stage linked 42 mile peg existing sandakan-beluran track ranau 180 kilometre west,20,"mile, ranau",2,True,True,Sandakan-Beluran,2,[],[],0.04545454545454545,neutral,0.0,"{'neutral': 0.842394232749939, 'surprise': 0.10323375463485718, 'sadness': 0.01763991266489029, 'anger': 0.014367861673235893, 'joy': 0.008052360266447067, 'fear': 0.007982982322573662, 'disgust': 0.0063289557583630085}",['neutral'],['neutral'],bert_only
