location_name,mention_count,avg_sentiment_score,sentiment_label,avg_emotion_intensity,total_emotions_detected,unique_emotions,latitude,longitude,neutral,fear,surprise,disgust,sadness,death,hunger,anger,joy,trauma,survival,disease,cruelty,suffering,despair,exhaustion
11 mile,2,-0.05357142857142857,negative,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
110 mile,4,0.008333333333333335,neutral,0.0,4,3,,,,2.0,1.0,1.0,,,,,,,,,,,,
12 mile,2,0.125,neutral,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
15 mile,2,-0.19166666666666665,negative,0.1,4,4,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,
155 mile,4,0.0,neutral,0.0,4,1,,,4.0,,,,,,,,,,,,,,,
20 mile,2,0.1,neutral,0.0,2,1,,,,2.0,,,,,,,,,,,,,,
23 mile,4,0.0,neutral,0.050505050505050504,8,3,,,,,,,4.0,2.0,2.0,,,,,,,,,
26 mile,2,0.375,positive,0.08571428571428572,4,2,,,,,,,,2.0,,2.0,,,,,,,,
36 mile,2,0.16369047619047622,positive,0.0,2,2,,,,1.0,,1.0,,,,,,,,,,,,
37 mile,2,0.22499999999999998,positive,0.10714285714285714,4,2,,,,,,,,2.0,,2.0,,,,,,,,
42 mile,4,0.06351190476190477,neutral,0.0,4,4,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
44 mile,2,-0.25,negative,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
8 Mile,2,0.05,neutral,0.047619047619047616,4,2,,,,,,,2.0,2.0,,,,,,,,,,
80 mile,2,-0.016666666666666663,neutral,0.045454545454545456,4,2,,,,,,,2.0,2.0,,,,,,,,,,
9 mile,5,0.2066666666666667,positive,0.0125,8,4,,,4.0,,1.0,,2.0,,1.0,,,,,,,,,
Agas Control,2,-0.08333333333333333,neutral,0.023255813953488372,2,1,,,,,,,,,2.0,,,,,,,,,
Allied Land Headquarters,2,-0.028571428571428574,neutral,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
Australia,19,-0.0162520015316068,neutral,0.006839023523942675,26,7,,,15.0,3.0,,1.0,3.0,2.0,,,1.0,1.0,,,,,,
Barigah,2,-0.14583333333333334,negative,0.0,2,2,,,,1.0,,,1.0,,,,,,,,,,,
Beluran,15,0.019252845919512578,neutral,0.0,14,4,117.664927,5.818868,9.0,1.0,1.0,3.0,,,,,,,,,,,,
Borneo,36,0.02761742404636426,neutral,0.019608569157180268,53,9,,,17.0,8.0,2.0,2.0,10.0,7.0,3.0,,2.0,,2.0,,,,,
Boto,18,0.06021717171717172,neutral,0.035588035049241934,29,8,117.200767,5.659721,9.0,3.0,1.0,1.0,5.0,7.0,2.0,,,,,1.0,,,,
Botterill,3,-0.2955555555555555,negative,0.0392156862745098,7,3,,,,2.0,,3.0,,2.0,,,,,,,,,,
Britain,2,-0.2,negative,0.02702702702702703,4,2,,,2.0,,,,,2.0,,,,,,,,,,
Brunei,7,0.052099567099567104,neutral,0.0,10,5,,,5.0,2.0,1.0,,,,,1.0,1.0,,,,,,,
Celo,3,-0.08333333333333333,neutral,0.025974025974025972,5,4,117.431389,5.815278,,1.0,1.0,,1.0,,,,,,,2.0,,,,
Coonabarabran,2,0.17159090909090907,neutral,0.0,3,3,,,,1.0,1.0,,,,,,1.0,,,,,,,
Darlington,2,-0.1416666666666667,negative,0.0,4,2,,,,,,2.0,,,,2.0,,,,,,,,
Dusun,5,-0.04828571428571428,negative,0.0,7,2,117.808174,5.837713,4.0,3.0,,,,,,,,,,,,,,
East Coast Residency,2,0.16666666666666666,positive,0.058823529411764705,4,2,,,2.0,,,,,2.0,,,,,,,,,,
Eight Mile Camp,2,0.0028571428571428524,neutral,0.0,2,1,,,,2.0,,,,,,,,,,,,,,
England,2,0.0,neutral,0.125,4,2,,,,,,,2.0,2.0,,,,,,,,,,
Glebe,2,0.0,neutral,0.037037037037037035,6,3,,,,2.0,,,2.0,2.0,,,,,,,,,,
Grafton,4,0.025,neutral,0.07275132275132275,8,2,,,,,,,4.0,4.0,,,,,,,,,,
Japan,4,0.04166666666666667,neutral,0.0,5,4,,,2.0,,,1.0,1.0,,,1.0,,,,,,,,
Japanese Headquarters,2,-0.026944444444444444,neutral,0.030303030303030304,3,3,,,1.0,,,,,,1.0,1.0,,,,,,,,
Jembongan Island,2,0.16666666666666666,positive,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
Jesselton,31,0.052109788359788356,neutral,0.029504259181678535,43,8,,,16.0,4.0,3.0,2.0,8.0,8.0,,,1.0,,1.0,,,,,
Jungle Camp,2,0.0,neutral,0.0,2,1,116.753206,5.955479,2.0,,,,,,,,,,,,,,,
Kaniogan,7,0.021428571428571415,neutral,0.01098901098901099,7,4,,,4.0,1.0,,1.0,,,,,,,,,1.0,,,
Kaniogan Island,3,0.044444444444444446,neutral,0.0,3,2,,,1.0,,,,,,,2.0,,,,,,,,
Kegibangan,2,-0.10529100529100528,negative,0.0,4,2,,,2.0,2.0,,,,,,,,,,,,,,
Kemansi,10,0.0519047619047619,positive,0.03,16,5,117.173106,5.629997,6.0,4.0,,,,2.0,2.0,2.0,,,,,,,,
Kempei-tai,7,-0.04438775510204083,neutral,0.09188604265004943,14,6,,,,2.0,,,3.0,4.0,,2.0,,,2.0,,,1.0,,
Keningau,6,0.08333333333333333,neutral,0.011904761904761904,8,3,,,4.0,,,,2.0,2.0,,,,,,,,,,
